,target,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,rank
0,C1=COCCC1.COC(=O)CCC(=O)c1ccc(O)cc1O,C1=COCCC1.COC(=O)CCC(=O)c1ccc(O)cc1O,C=[N+]=[N-].O=C(O)CCC(=O)c1ccc(OC2CCCCO2)cc1O,CC1=COCCC1.COC(=O)CCC(=O)c1ccc(O)cc1O,C1=COCCC1.COC(=O)CCC(=O)c1ccc(OC2CCCCO2)cc1O,COC(=O)CCC(=O)c1ccc(O)cc1O.OC1CCCCO1,1
1,COC(=O)c1cccc(C(=O)O)c1.Nc1cccnc1N,COC(=O)c1cccc(C(=O)O)c1.Nc1cccnc1N,COC(=O)c1cccc(C(=N)N)c1.Nc1cccnc1N,CCOC(=O)c1cccc(C(=O)O)c1.Nc1cccnc1N,CO.O=C(O)c1cccc(-c2nc3cccnc3[nH]2)c1,COC(=O)c1cccc(C(=O)O)c1.c1cnc2[nH][nH]c2c1,1
2,CC(C)(C)OC(=O)NC1CCC(C(=O)O)CC1.CNOC,CC(C)(C)OC(=O)NC1CCC(C(=O)O)CC1.CNOC,CC(C)(C)OC(=O)NCC1CCC(=O)CC1.CNOC,CC(C)(C)OC(=O)NC1CCC(=O)CC1.CNOC,CC(C)(C)OC(=O)NCC1CCC(C(=O)O)CC1.CNOC,CC(C)(C)OC(=O)NC1CCCC(=O)CC1.CNOC,1
3,Nc1ccc(O)cc1.O=[N+]([O-])c1ccc(Cl)nc1Cl,Nc1ccc(O)cc1.O=[N+]([O-])c1ccc(Cl)nc1Cl,O=[N+]([O-])c1ccc(Cl)nc1NC1=CC=COCC1,O=[N+]([O-])c1ccc(Cl)nc1NC1=CC=COC1,O=[N+]([O-])c1ccc(Cl)nc1NC1=CC=COC1,COC=CC=C([O-])Nc1nc(Cl)ccc1[N+]=O,1
4,[N-]=[N+]=NCC1=CC[C@@H](c2ccc(Cl)cc2Cl)[C@H]([N+](=O)[O-])C1,CC(C)(C)OC(=O)NCC1=CC[C@@H](c2ccc(Cl)cc2Cl)[C@H]([N+](=O)[O-])C1,N.O=CC1=CC[C@@H](c2ccc(Cl)cc2Cl)[C@H]([N+](=O)[O-])C1,O=C1c2ccccc2C(=O)N1CC1=CC[C@@H](c2ccc(Cl)cc2Cl)[C@H]([N+](=O)[O-])C1,[N-]=[N+]=NCC1=CC[C@@H](c2ccc(Cl)cc2Cl)[C@H]([N+](=O)[O-])C1,CC(=O)NCC1=CC[C@@H](c2ccc(Cl)cc2Cl)[C@H]([N+](=O)[O-])C1,4
5,CCc1oc(-c2ccc(C(F)(F)F)cc2)nc1COC[C@@H]1CCC[C@H](COC(C)(C)C(=O)OC(C)(C)C)C1,CCc1oc(-c2ccc(C(F)(F)F)cc2)nc1COC[C@@H]1CCC[C@H](COC(C)(C)C(=O)OC)C1,CCc1oc(-c2ccc(C(F)(F)F)cc2)nc1COC1CCCC[C@H](COC(C)(C)C(=O)O)CC1,CCOC(=O)C(C)(C)OCCC1CCC[C@H](COCc2coc(-c3ccc(C(F)(F)F)cc3)n2)CC1,CCOC(=O)C(C)(C)OCCC1CCC[C@@H](COCc2coc(-c3ccc(C(F)(F)F)cc3)n2)CC1,CCOC(=O)C(C)(C)OCCC1CCC[C@@H](COCc2coc(-c3ccc(C(F)(F)F)cc3)n2)CC1,0
6,Cc1noc(C)c1N=C=O.Nc1ccc2nc(N[C@@H]3CCc4ccccc43)ccc2c1,Cc1noc(C)c1NC(=O)Nc1ccc2nc(Cl)ccc2c1.N[C@@H]1CCc2ccccc21,Cc1noc(C)c1N=C=O.Nc1ccc2nc(N[C@@H]3CCc4ccccc43)ccc2c1,Cc1noc(C)c1NC(=O)O.Nc1ccc2nc(N[C@@H]3CCc4ccccc43)ccc2c1,Cc1noc(C)c1NC(=O)Cl.Nc1ccc2nc(N[C@@H]3CCc4ccccc43)ccc2c1,Cc1noc(C)c1NC(=O)OC(C)(C)C.Nc1ccc2nc(N[C@@H]3CCc4ccccc43)ccc2c1,2
7,COC(=O)c1ccc(N2CCCS2(=O)=O)nc1C.Cc1cnc(N2CCNCC2)c(C)c1,Cc1cnc(N2CCNCC2)c(C)c1.Cc1nc(N2CCCS2(=O)=O)ccc1C(=O)O,COC(=O)c1ccc(N2CCCS2(=O)=O)nc1C.Cc1cnc(N2CCNCC2)c(C)c1,C=CCN(CCNC(CC(=C)C)=NC=CC)C(=O)c1ccc(Br)nc1.O=S1(=O)CCCN1,C=CCN(CCNC1=NC(=CC)C=C(C)C1)C(=O)c1ccc(Br)nc1.O=S1(=O)CCCN1,CCOC(=O)c1ccc(N2CCCS2(=O)=O)nc1C.Cc1cnc(N2CCNCC2)c(C)c1,2
8,COc1cc(OC)cc(C(C)(C)CCCCC#C[Si](C)(C)C)c1,C#CCCCCC(C)(C)c1cc(OC)cc(OC)c1,C#CCCCCCl.COc1cc(OC)cc(C(C)C)c1,C#CCCCC(C)(C)c1cc(OC)cc(OC)c1,C#CCCCC(=O)C(C)(C)c1cc(OC)cc(OC)c1,C#CC(O)CC(C)(C)c1cc(OC)cc(OC)c1,0
9,CCOC(=O)c1c[nH]c2c(C)c(C=O)sc2c1=O.CI,CCOC(=O)c1cn(C)c2c(C)c(CO)sc2c1=O,CCOC(=O)c1cn2cc(c1=O)SC(Br)=C(C)C2.CN(C)C=O,CCOC(=O)C=CN1C=C(C=O)SC(Br)=C(C)C1.CN(C)C=O,CCOC(=O)C=CN(C)c1c(C=O)sc(CO)c1C,CCOC(=O)C=CN(C)CC(C)=CSCC=O.CN(C)C=O,0
